94878,102231
94878,102231
94878,102231
94966,102319
94966,102319
94966,102319
94966,102319
94966,102319
95003,102356
95003,102356
95003,102356
95003,102356
95003,102356
95003,102356
83674,91027
94978,102331
94978,102331
94978,102331
95091,102444
95091,102444
95091,102444
95091,102444
95130,102483
95130,102483
95130,102483
94826,102179
94826,102179
94826,102179
95033,102386
95033,102386
95033,102386
94853,102206
94853,102206
94853,102206
94979,102332
94979,102332
94979,102332
95092,102445
95092,102445
95092,102445
92256,99609
94952,102305
94952,102305
94952,102305
95192,102545
95192,102545
95192,102545
94666,102019
94666,102019
94666,102019
94980,102333
94980,102333
94980,102333
94644,101997
94644,101997
94644,101997
94677,102030
94677,102030
94677,102030
94677,102030
94677,102030
94677,102030
94677,102030
94677,102030
94677,102030
94677,102030
94677,102030
94677,102030
94677,102030
94677,102030
94870,102223
94870,102223
94870,102223
94911,102264
94911,102264
94911,102264
94992,102345
94992,102345
94992,102345
95109,102462
95109,102462
95109,102462
88040,95393
94898,102251
94898,102251
94898,102251
94898,102251
94898,102251
94898,102251
94898,102251
94898,102251
94898,102251
94898,102251
94898,102251
94898,102251
95094,102447
95094,102447
95094,102447
95133,102486
95133,102486
95133,102486
94871,102224
94872,102224
94912,102265
94912,102265
94912,102265
95220,102573
95220,102573
95220,102573
94805,102158
94805,102158
94805,102158
94805,102158
94805,102158
94805,102158
94805,102158
87330,94683
94761,102114
94761,102114
94761,102114
94871,102225
94872,102225
94927,102280
94927,102280
94927,102280
87331,94684
94750,102103
94750,102103
94750,102103
94873,102226
94888,102241
94888,102241
94888,102241
94972,102325
94972,102325
94972,102325
87332,94685
94714,102067
94714,102067
94714,102067
94751,102104
94751,102104
94751,102104
89070,96423
87703,95056
94874,102227
94874,102227
94874,102227
94996,102349
94996,102349
94996,102349
94274,101627
94973,102326
94973,102326
94973,102326
93943,101296
87544,94897
88022,95375
